iid,ptitle,vtitle,estatus,pageimg,econtent,pkeyword,vcontent,dadd_date,tadd_time,vfile_name,dmodify_date,pdescription,tmodify_time
1,Welcome to keystrokepro.com,Home,Active,home.jpg,Yes,"Welcome, welcome home, home, key, stroke, pro, keystroke, strokepro, keypro",<br />,2008-12-10,12:29:43,default,2010-09-23,keystrokepro.com,06:40:27
2,About Us : KeyStrokePro,About Us,Active,aboutus.jpg,Yes,keystrokepro,"Keystroke Pro is a leading outsourcing expert in <a href=""http://projectstatus.in/ksp/content.php?filename=audiotranscription"">Audio Transcription</a> and <a href=""http://projectstatus.in/ksp/content.php?filename=accountingservices"">Accounting Services.</a>\xa0\r\n<p>We provide a rapid turnaround within a totally secure and confidential environment and are certified by the British Standards Institution (BSI) to their toughest information security standard. Our highly skilled professionals transform your operations and give you great flexibility. Your relationship with Keystroke Pro will unlock significant efficiencies.</p>\r\n<p>Every client is different and we fully understand this. We take a consultative approach resulting in a bespoke services meeting your objectives and requirements. Through first class services and total quality we develop a meaningful and close partnership with out clients.</p>\r\n<p>Keystroke Pro owes its suxxess through client relationship built on quality, service and risk management.</p>",2008-12-14,00:00:00,aboutus,2010-09-23,keystrokepro,06:40:36
3,Accounting Services : KeyStrokpro,Accounting Services,Active,aboutus.jpg,Yes,Accounting Services : KeyStrokpro,"Keystroke Pro is a leading outsourcing expert in <a href=""#"">Audio Transcription</a> and <a href=""#"">Accounting Services.</a></p>\r\n<p>We provide a rapid turnaround within a totally secure and confidential environment and are certified by the British Standards Institution (BSI) to their toughest information security standard. Our highly skilled professionals transform your operations and give you great flexibility. Your relationship with Keystroke Pro will unlock significant efficiencies.</p>\r\n<p>Every client is different and we fully understand this. We take a consultative approach resulting in a bespoke services meeting your objectives and requirements. Through first class services and total quality we develop a meaningful and close partnership with out clients.</p>\r\n<p>Keystroke Pro owes its suxxess through client relationship built on quality, service and risk management.",2009-01-28,05:46:25,accountingservices,2010-08-05,Accounting Services : KeyStrokpro,10:01:28
4,Other Services : keyStrokePro,Other Services,Active,otherservices.jpg,Yes,Other Services : keyStrokePro,"<span style=""font-size: large; color: rgb(209, 15, 65); font-family: Times New Roman;"">Forms Processing / Data Capture</span><br />\r\nWhether you need names/addresses/contact details/bank details/pledge amounts captured from a charity phone-in or you have thousands of fax/post back forms from a marketing campaign that you need put into a data base, KeyStroke have the relevant experience to turn around your project successfully, quickly and economically.<br />\r\n<a href=""http://projectstatus.in/ksp/content.php?filename=contactus"" style=""text-decoration: underline;"">Contact us for more information.</a><br />\r\n<br />\r\n<span style=""font-size: large; color: rgb(209, 15, 65); font-family: Times New Roman;"">In-House Documentation</span><br />\r\nKeyStroke Pro have a wealth of experience in re-formatting in-house documentation to reflect your updated house styles to produce a uniform, corporate standard and appearance throughout your company's paper work. Using the services of KeyStroke Pro to perform such projects will save you both time and money and allows your own staff to concentrate on their core activities.<br />\r\n<a href=""http://projectstatus.in/ksp/content.php?filename=contactus"" style=""text-decoration: underline;"">Contact us for more information.</a><br />\r\n<br />\r\n<span style=""font-size: large; color: rgb(209, 15, 65); font-family: Times New Roman;"">Copy Typing</span><br />\r\nIf you have hand written manuscripts or may be a publication that you want typed up as a word document why not scan it, email it to us and have us do the typing. KeyStroke Pro have many customers who use this service, ranging from Employment Agents having candidate CVs reformatted to reflect a standard layout to oil companies wanting instruction manuals re-keyed.<br />\r\n<a href=""http://projectstatus.in/ksp/content.php?filename=contactus"" style=""text-decoration: underline;"">Contact us for more information.</a><br />\r\n<br />\r\n<span style=""font-size: large; color: rgb(209, 15, 65); font-family: Times New Roman;"">Document Conversion & Tagging</span><br />\r\nKeyStroke can perform tasks such as Quark tagging, directory editing, list compilation, web mining, data base de-duping and cleaning,<br />\r\n<a href=""http://projectstatus.in/ksp/content.php?filename=contactus"" style=""text-decoration: underline;"">Contact us for more information.</a><br />\r\n<br />\r\n<span style=""font-size: large; color: rgb(209, 15, 65); font-family: Times New Roman;"">General</span><br />\r\nIf you have some work that you need doing that involves the use of a keyboard then the chances are that KeyStroke Pro would be able to do it for you saving you time, money and effort. Why not contact us and ask.",2009-01-28,05:47:20,otherservices,2010-09-20,Other Services : keyStrokePro,03:34:51
6,ISO Certification : KeyStrokePro,ISO Certification,Active,isocetification.jpg,Yes,ISO Certification : KeyStrokePro,"Keystroke Pro are proud to be certified by the British Standards Institution to their toughest\xa0 information security standard ISO/IEC 27001:2005 - Information Security Systems.<br />\r\n<br />\r\nISO/IEC 27001:2005 specifies the requirements for establishing, implementing, operating, monitoring, reviewing, maintaining and improving a documented Information Security Management System within the context of Keystroke Pro's overall business risks. It specifies the requirements for the implementation of security controls customized to the needs of an individual organization.<br />\r\n<br />\r\nISO/IEC 27001:2005 is designed to ensure the selection of adequate and proportionate security controls that protect information assets and give confidence to interested parties. Keystroke Pro gained the certification in 2007 and greatly value the relationship with BSI -one of the foremost certification bodies in the world. As part of the certification we have developed a System Specific Security Policy (SSSP) which we are happy to share with clients. We believe that our rigorous processes and this certification help ensure that all client data remain totally secure. Furthermore this is an important check to verify that no data ever leaves the safety of Keystroke Pro information technology equipment.",2009-01-28,05:48:38,isocertification,2010-08-05,ISO Certification : KeyStrokePro,10:03:17
7,Audio Transcription : KeyStrokePro,Audio Transcription,Active,audiotranscription.jpg,Yes,Audio Transcription : KeyStrokePro,"<span style=""font-size: large; color: rgb(209, 15, 65); font-family: Times New Roman;"">Audio Transcription</span><br />\r\nKeystroke Pro is an outsourced secretarial provider. We provide urgent and accurate transcription of digital dictation within a secure and confidential environment.<br />\r\nOur systems are tailored to your needs so you are guaranteed an excellent and easy-to-use service whatever your systems and workflow.<br />\r\nIf you are using Voice File or Case Management Software, we can securely interface with your systems to provide a seamless typing service. Our IT development team is always available to give help and advice. <br />\r\n<br />\r\n<span style=""font-size: large; color: rgb(209, 15, 65); font-family: Times New Roman;"">THE KEYSTROKE PRO ADVANTAGE</span></p>\r\n<ul type=""square"" style=""line-height: 2;"">\r\n    <li>Guaranteed accuracy</li>\r\n</ul>\r\n<ul type=""square"" style=""line-height: 2;"">\r\n    <li>Guaranteed turnaround times</li>\r\n</ul>\r\n<ul type=""square"" style=""line-height: 2;"">\r\n    <li>Urgent service</li>\r\n</ul>\r\n<ul type=""square"" style=""line-height: 2;"">\r\n    <li>Average savings of over 60%</li>\r\n</ul>\r\n<ul type=""square"" style=""line-height: 2;"">\r\n    <li>Delivering a quality reliable service</li>\r\n</ul>\r\n<ul type=""square"" style=""line-height: 2;"">\r\n    <li>Reduced billing cycles</li>\r\n</ul>\r\n<ul type=""square"" style=""line-height: 2;"">\r\n    <li>Reduced work in progress</li>\r\n</ul>\r\n<ul type=""square"" style=""line-height: 2;"">\r\n    <li>Flexibility with erratic typing volumes</li>\r\n</ul>\r\n<ul type=""square"" style=""line-height: 2;"">\r\n    <li>No more staff absence</li>\r\n</ul>\r\n<ul type=""square"" style=""line-height: 2;"">\r\n    <li>Variable rather than fixed costs</li>\r\n</ul>\r\n<ul type=""square"" style=""line-height: 2;"">\r\n    <li>We work on your document templates</li>\r\n</ul>\r\n<ul type=""square"" style=""line-height: 2;"">\r\n    <li>We can fully integrate with your case management systems</li>\r\n</ul>\r\n<ul type=""square"" style=""line-height: 2;"">\r\n    <li>We can be set up as a typist within your voice file handling systems and process your work as if we were in your office</li>\r\n</ul>",2009-02-23,08:55:47,audiotranscription,2010-08-05,Audio Transcription : KeyStrokePro,10:03:52
8,Contact Us : KeyStrokePro,Contact Us,Active,contactus.jpg,Yes,Contact Us : KeyStrokePro,"<span style=""line-height: 2;""><br />\r\n</span>",2009-02-23,08:56:49,contactus,2010-09-23,Contact Us : KeyStrokePro,06:40:48
16,NULL,Legal Transcription,Active,LegalTranscription.jpg,Yes,NULL,"Our tried and tested document production and typing service has been developed and honed for use by the Legal sector. Typical word processing undertaken includes Attendance Notes,\xa0 Letters, Statements, Wills, Case notes, File Notes, Client Instructions, Proofs of Evidence,\xa0 Briefs, Witness Statements, Instructions to Experts, Telephone-Logs and Leases, to name but a few.<br />\r\n<br />\r\nDigital Voice files are transmitted to us via secure bespoke email, through the secure upload facility, or through VPN connection to your voice file handling software. We can be set up as a typist within your voice file handling software. We assign a team of professional typists to type and quality check your documents. Your files will then have a complete second check before being returning to you as a perfect document ready for printing on your letterhead or filing.<br />\r\n<br />\r\nAll your typing is done by permanent Keystroke Pro staff working from our secure offices on our I.T. equipment. We do not outsource your work to homeworkers or third parties.<br />\r\n<br />\r\nWe take confidentiality and security very seriously and are one of the few transcription companies to be certified by the British standards Institution (BSI).<br />\r\n<br />\r\n<a href=""http://projectstatus.in/ksp/content.php?filename=contactus"">Contact us for more information.</a><br />\r\n<br />\r\n<span style=""color: rgb(209, 15, 65);""><span style=""font-size: medium;""><strong>Case Study</strong></span></span><br />\r\n<br />\r\nA 250 strong Law firm in London with 3 offices was keen to use an outsourced typing facility to help control its erratic peaks of work flow and endless delays in typing brought about by the loss of several of their more reliable and productive support staff. They were also keen to take the opportunity to investigate potential cost savings. A firm wide roll-out of digital dictation had just been successfully completed.<br />\r\n<br />\r\nFollowing a meeting with KeyStroke Pro it was agreed that a free trial would be run.<br />\r\n<br />\r\nAfter just one week of running a trial of KeyStroke Pro's typing service they were so impressed with turnaround, quality and the pending cost savings that they signed up for the service. Starting with the processing of Attendance Notes they rapidly expanded the work to include all other legal typing.<br />\r\n<br />\r\nFeedback from all levels indicates that the project has been a huge success and the relationship will continue to grow and be long and meaningful. Support staff have more time available to concentrate on urgent issues, are being promoted to Paralegals and are more productive. Fee earners are enjoying reduced error rates, are saving themselves valuable time checking and proof reading documents and have quicker turn around time of their<br />\r\ndocuments leading to satisfied clients and quicker and more accurate billing. They have not had to concern themselves with taking on temporary staff for over 12 months and have no issues coping with natural wastage of staff, holidays or absenteeism brought about through illness.<br />\r\n<br />\r\nSavings in the last year have reportedly amounted to in excess of \xa3180,000. The company has been able to halve the number of extra support staff they originally planned to employ; savings are forecasted to more than double in the next 12 months.<br />\r\n<br />\r\nWe regularly type in excess of 100 hours of dictation per month for this client and receive several referrals a year from them.",0000-00-00,00:00:00,legaltranscription,2010-08-05,NULL,10:05:16
17,NULL,Investor Conference Transcripts,Active,InvestorConferenceTranscripts.jpg,Yes,NULL,"Keystroke Pro's Financial Division is tasked with transcribing Investor Relation Conferences and Corporate Conferences.<br />\r\n<br />\r\nReading a transcript of a Corporate Conference rather than attending them or listening to web casts saves real time. You need to know that the transcript is accurate and is available in a timely fashion to ensure that you are kept up to date with market intelligence.<br />\r\n<br />\r\nIf you would like to talk to someone from the Financial Division please</p>\r\n<p>\xa0</p>\r\n<p><a href=""http://projectstatus.in/ksp/content.php?filename=contactus"">contact us for more information</a>",0000-00-00,00:00:00,investorconferencetranscripts,2010-08-05,NULL,10:05:53
18,NULL,Medical Transcription,Active,MedicalTranscription.jpg,Yes,NULL,"We are Medical Transcription and Document Management experts. Our service provides total control over the whole process from creation of the dictation, to delivery of the voice file, to the document production and quality control, to return of the work and uploading into the clients' systems.<br />\r\n<br />\r\nKeyStroke Pro are certified to ISO/IEC 27001:2005 Information Security Systems by the British Standards Institution (BSI) and meet the US Health Insurance Portability and ccountability Act (HIPPA) requirements and guarantee The Association for Healthcare Documentation Integrity (AHDI) defined 98% ccuracy. All work is returned on a next day basis. On average we save hospitals and medical practices 55% of their transcription costs without the need for any capital investment.<br />\r\n<br />\r\nKeyStroke Pro offer full medical transcription services to physician and consultant practices; primary care practices and hospitals throughout the UK and US.<br />\r\n<br />\r\nCapabilities include all medical specialities as well as bespoke document requirements such as medical history,reports, discharge summaries, operative and stat reports and IMEs.<br />\r\n<br />\r\nQuality, timeliness and confidentiality are at the cornerstone of our service. We offer full or partial solutions and provide cost effective systems for erratic transcription volumes. We deliver the highest quality and consistent turnarounds that our customers have come to depend on.<br />\r\n<br />\r\nKeyStroke Pro has invested in its infrastructure, hardware and software architecture with security and confidentiality as the foremost concern. From encryption, mirrored IT systems and security monitoring to disaster prevention and recovery measures, KeyStroke Pro's systems meet the stringent requirements of HIPPA compliance.<br />\r\n<br />\r\nWe do not need to be given any personal information and can link with your systems (PAS) in order to have the patient demographics interpolated seamlessly within your systems.  Contact us for more information. </p>\r\n<table width=""100%"" cellspacing=""5"" cellpadding=""5"" border=""0"">\r\n    <tbody>\r\n        <tr>\r\n            <td align=""left"" colspan=""3"" style=""color: rgb(209, 15, 65); font-weight: lighter; font-size: 18px;"">Medical Fields</td>\r\n        </tr>\r\n        <tr>\r\n            <td align=""left"" colspan=""3"">We offer full Medical Transcription including the following fields:</td>\r\n        </tr>\r\n        <tr>\r\n            <td align=""left"" colspan=""3"">\xa0</td>\r\n        </tr>\r\n        <tr>\r\n            <td width=""39%"">Allergy and Clinical Immunology</td>\r\n            <td width=""33%"">Gynaecology</td>\r\n            <td width=""28%"">Pain Management</td>\r\n        </tr>\r\n        <tr>\r\n            <td>Anaesthesiology</td>\r\n            <td>Haematology</td>\r\n            <td>Paediatrics</td>\r\n        </tr>\r\n        <tr>\r\n            <td>Arthritis and Rheumatology</td>\r\n            <td>Infectious Diseases</td>\r\n            <td>Plastic Surgery</td>\r\n        </tr>\r\n        <tr>\r\n            <td>Cardiovascular</td>\r\n            <td>Internal Medicine</td>\r\n            <td>Rehabilitation</td>\r\n        </tr>\r\n        <tr>\r\n            <td>Dermatology</td>\r\n            <td>Nephrology</td>\r\n            <td>Psychiatry</td>\r\n        </tr>\r\n        <tr>\r\n            <td>Endocrinology</td>\r\n            <td>Neurology</td>\r\n            <td>Pulmonary</td>\r\n        </tr>\r\n        <tr>\r\n            <td>Family Practice</td>\r\n            <td>Obstetrics</td>\r\n            <td>Radiology</td>\r\n        </tr>\r\n        <tr>\r\n            <td>Fertility</td>\r\n            <td>Oncology</td>\r\n            <td>Sports Medicine</td>\r\n        </tr>\r\n        <tr>\r\n            <td>Gastroenterology</td>\r\n            <td>Orthopedics</td>\r\n            <td>Surgical</td>\r\n        </tr>\r\n        <tr>\r\n            <td>General Practice</td>\r\n            <td>Otolaryngology</td>\r\n            <td>Urology</td>\r\n        </tr>\r\n    </tbody>\r\n</table>",0000-00-00,00:00:00,medicaltranscription,2010-08-05,NULL,10:06:28
